"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2025","1,465.00","1,465.00","1,465.00","1,465.00","","-2.98%"
"09/19/2025","1,510.00","1,525.00","1,510.00","1,510.00","","0.67%"
"09/18/2025","1,500.00","1,515.00","1,500.00","1,500.00","","1.35%"
"09/17/2025","1,480.00","1,480.00","1,480.00","1,480.00","","1.72%"
"09/16/2025","1,455.00","1,465.00","1,455.00","1,455.00","","0.69%"
"09/15/2025","1,445.00","1,455.00","1,445.00","1,445.00","","2.12%"
"09/12/2025","1,415.00","1,420.00","1,415.00","1,415.00","","1.07%"
"09/11/2025","1,400.00","1,410.00","1,400.00","1,400.00","","1.45%"
"09/10/2025","1,380.00","1,395.00","1,380.00","1,380.00","","0.36%"
"09/09/2025","1,375.00","1,405.00","1,375.00","1,375.00","","0.00%"
"09/08/2025","1,375.00","1,405.00","1,375.00","1,375.00","","1.10%"
"09/05/2025","1,360.00","1,370.00","1,360.00","1,360.00","","0.37%"
"09/04/2025","1,355.00","1,370.00","1,355.00","1,355.00","","1.50%"
"09/03/2025","1,335.00","1,355.00","1,335.00","1,335.00","","-1.11%"
"09/02/2025","1,350.00","1,390.00","1,350.00","1,350.00","","-0.74%"
"09/01/2025","1,360.00","1,365.00","1,360.00","1,360.00","","1.87%"
"08/29/2025","1,335.00","1,345.00","1,345.00","1,335.00","","-0.37%"
"08/28/2025","1,340.00","1,370.00","1,340.00","1,340.00","","-0.37%"
"08/27/2025","1,345.00","1,370.00","1,345.00","1,345.00","","-0.37%"
"08/26/2025","1,350.00","1,375.00","1,350.00","1,350.00","","-0.37%"
"08/25/2025","1,355.00","1,345.00","1,355.00","1,345.00","","1.50%"
"08/22/2025","1,335.00","1,350.00","1,335.00","1,335.00","","0.38%"
"08/21/2025","1,330.00","1,350.00","1,330.00","1,330.00","","0.00%"
"08/20/2025","1,330.00","1,350.00","1,330.00","1,330.00","","0.00%"
"08/19/2025","1,330.00","1,345.00","1,330.00","1,330.00","","0.00%"
"08/18/2025","1,330.00","1,330.00","1,330.00","1,330.00","","1.53%"
"08/14/2025","1,310.00","1,350.00","1,310.00","1,310.00","","-1.50%"
"08/13/2025","1,330.00","1,345.00","1,330.00","1,330.00","","0.76%"
"08/12/2025","1,320.00","1,345.00","1,320.00","1,320.00","","-0.38%"
"08/11/2025","1,325.00","1,335.00","1,325.00","1,325.00","","0.76%"
"08/08/2025","1,315.00","1,335.00","1,315.00","1,315.00","","0.00%"
"08/07/2025","1,315.00","1,335.00","1,315.00","1,315.00","","0.38%"
