fecha,dolar_blue,dolar_oficial,valor,rsi,day_of_week,is_end_of_month,brecha
2022-01-05,207.5,103.14,207.5,66.23381508594706,2,0,1.0118285825092108
2022-01-06,208.5,103.24,208.5,68.158682128757,3,0,1.019566059666796
2022-01-07,208.0,103.28,208.0,66.12883060149095,4,0,1.0139426800929512
2022-01-10,206.0,103.51,206.0,58.609859078172114,0,0,0.9901458796251569
2022-01-11,209.0,103.56,209.0,65.03243104735441,1,0,1.018153727307841
2022-01-12,208.5,103.68,208.5,63.270271585674486,2,0,1.0109953703703702
2022-01-13,209.5,103.77,209.5,65.29568363690103,3,0,1.0188879252192349
2022-01-14,209.5,103.84,209.5,65.29568363690103,4,0,1.017526964560863
2022-01-17,209.0,103.84,209.0,63.27243348528098,0,0,1.0127118644067796
2022-01-18,211.0,104.17,211.0,67.59746056421699,1,0,1.025535182874148
2022-01-19,213.0,104.24,213.0,71.24421550905305,2,0,1.0433614735226402
2022-01-20,214.0,104.31,214.0,72.88728249478508,3,0,1.0515770300067107
2022-01-21,219.0,104.34,219.0,79.26638708981194,4,0,1.098907418056354
2022-01-24,219.0,104.53,219.0,79.26638708981194,0,0,1.095092317994834
2022-01-25,219.5,104.62,219.5,79.81711771562496,1,0,1.0980692028292869
2022-01-26,221.0,104.7,221.0,81.41225100713575,2,1,1.1107927411652339
2022-01-27,222.5,104.77,222.5,82.87022610347162,3,1,1.1236995323088672
2022-01-28,212.5,104.84,212.5,53.01521407790196,4,1,1.026898130484548
2022-01-31,213.0,105.02,213.0,53.909315069205796,0,1,1.0281851075985526
2022-02-01,214.0,105.12,214.0,55.72404475185089,1,0,1.0357686453576864
2022-02-02,216.5,105.2,216.5,59.96764628994312,2,0,1.0579847908745246
2022-02-03,216.0,105.31,216.0,58.754748214694644,3,0,1.0510872661665558
2022-02-04,214.0,105.41,214.0,54.04589960055523,4,0,1.0301679157575183
2022-02-07,214.0,105.68,214.0,54.04589960055523,0,0,1.0249810749432247
