fecha,dolar_blue
2019-02-25,38.75
2019-02-26,39.25
2019-02-27,39.0
2019-02-28,39.0
2019-03-01,39.0
2019-03-06,40.5
2019-03-07,42.5
2019-03-08,41.0
2019-03-11,41.0
2019-03-12,41.25
2019-03-13,41.5
2019-03-14,41.0
2019-03-15,41.0
2019-03-18,41.0
2019-03-19,41.25
2019-03-20,41.25
2019-03-21,41.25
2019-03-22,41.75
2019-03-25,41.9
2019-03-26,42.55
2019-03-27,44.0
2019-03-28,43.8
2019-03-29,43.65
2019-04-01,43.5
2019-04-03,43.5
2019-04-04,43.65
2019-04-05,44.0
2019-04-08,44.0
2019-04-09,44.0
2019-04-10,44.0
2019-04-11,44.0
2019-04-12,43.65
2019-04-15,43.5
2019-04-16,43.8
2019-04-17,43.45
2019-04-22,44.35
2019-04-23,44.15
2019-04-24,44.5
2019-04-25,46.0
2019-04-26,46.1
2019-04-29,45.07
2019-04-30,46.0
2019-05-02,46.25
2019-05-03,45.75
2019-05-06,46.5
2019-05-07,46.0
2019-05-08,46.0
2019-05-09,46.0
2019-05-10,46.0
2019-05-13,46.0
2019-05-14,46.0
2019-05-15,46.0
2019-05-16,46.0
2019-05-17,46.1
2019-05-20,46.35
2019-05-21,46.25
2019-05-22,46.1
2019-05-23,46.2
2019-05-24,46.15
2019-05-27,46.15
2019-05-28,46.2
2019-05-29,46.2
2019-05-30,45.9
2019-05-31,46.0
2019-06-03,46.1
2019-06-04,46.0
2019-06-05,45.6
2019-06-06,45.65
2019-06-07,45.7
2019-06-10,45.5
2019-06-11,45.5
2019-06-12,45.3
2019-06-13,45.3
2019-06-14,45.2
2019-06-18,45.15
2019-06-19,44.9
2019-06-21,44.5
2019-06-24,44.44
2019-06-25,44.1
2019-06-26,44.2
2019-06-27,44.2
2019-06-28,43.8
2019-07-01,43.45
2019-07-02,43.5
2019-07-03,43.05
2019-07-04,42.9
2019-07-05,42.9
2019-07-10,42.8
2019-07-11,43.2
2019-07-12,43.25
2019-07-15,43.75
2019-07-16,44.45
2019-07-17,44.2
2019-07-18,43.95
2019-07-19,43.95
2019-07-22,44.05
2019-07-23,44.25
2019-07-24,44.6
2019-07-25,44.95
2019-07-26,44.95
2019-07-29,45.15
2019-07-30,45.15
2019-07-31,45.2
2019-08-01,45.43
2019-08-02,45.9
2019-08-05,46.6
2019-08-06,46.4
2019-08-07,46.5
2019-08-08,46.72
2019-08-09,46.9
2019-08-12,57.0
2019-08-13,57.0
2019-08-14,62.0
2019-08-15,59.0
2019-08-16,59.0
2019-08-20,58.0
2019-08-21,58.5
2019-08-22,58.0
2019-08-23,58.0
2019-08-26,57.5
2019-08-27,59.0
2019-08-28,60.5
2019-08-29,60.75
2019-08-30,63.0
2019-09-02,63.5
2019-09-03,61.0
2019-09-04,59.0
2019-09-05,59.0
2019-09-06,59.0
2019-09-09,59.0
2019-09-10,58.75
2019-09-11,59.0
2019-09-12,60.0
2019-09-13,61.5
2019-09-16,61.5
2019-09-17,62.0
2019-09-18,62.75
2019-09-19,63.0
2019-09-20,62.75
2019-09-23,62.25
2019-09-24,61.75
2019-09-25,61.75
2019-09-26,62.0
2019-09-27,61.5
2019-09-30,61.25
2019-10-01,60.75
2019-10-02,61.5
2019-10-03,61.0
2019-10-04,61.25
2019-10-07,61.25
2019-10-08,61.5
2019-10-09,61.75
2019-10-10,63.0
2019-10-11,63.5
2019-10-15,63.5
2019-10-16,64.5
2019-10-17,67.5
